Website,url,Order,www.sik.dk,produkter.dk,www.was.digst.dk,sparenergi.dk,virk.dk,indberet.virk.dk,hoeringsportalen.dk,post.borger.dk,www.e-boks.com,mit.dk,www.brs.dk,was.digst.dk,em-sik.sit-wb.dk,www.justitsministeriet.dk,em.dk,sikkerel.sik.dk,bpst.dk,ens.dk,www.soefartsstyrelsen.dk,www.fstyr.dk,www.retsinformation.dk,boligejer.dk,press.sostrenegrene.com,amid.dk,eur-lex.europa.eu,ec.europa.eu,ouh.dk,www.medarbejdersignatur.dk,www.nemid.nu,ontrack.sgs.com,candidate.hr-manager.net,www.ug.dk,aarsberetning.sik.dk,oes.dk
www.sik.dk,https://www.sik.dk,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
produkter.dk,https://produkter.dk/anmeldelser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.was.digst.dk,https://www.was.digst.dk/sik-dk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sparenergi.dk,https://sparenergi.dk/offentlig/vaerktoejer/offentligt-energiforbrug/sikkerhedsstyrelsen?year=2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virk.dk,https://virk.dk/myndigheder/stat/SIK/selvbetjening/Elforsyningsanlaeg_indberetning_af_haendelse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indberet.virk.dk,https://indberet.virk.dk/myndigheder/stat/SIK/Anmeldelse_eller_aendring_af_biogasanlaeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoeringsportalen.dk,https://hoeringsportalen.dk/Hearing?Authorities=Sikkerhedsstyrelsen,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post.borger.dk,https://post.borger.dk/?logon=borger&amp;function=inbox&amp;mailboxid=2227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.e-boks.com,https://www.e-boks.com/danmark/da,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mit.dk,https://mit.dk/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.brs.dk,https://www.brs.dk/da/borger/forebyg-brand/brandfare.dk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was.digst.dk,https://was.digst.dk/sik-dk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
em-sik.sit-wb.dk,https://em-sik.sit-wb.dk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.justitsministeriet.dk,https://www.justitsministeriet.dk/wp-content/uploads/2020/10/Faelles-vejledning-for-whistleblowerordninger-paa-statens-omraade.pdf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
em.dk,https://em.dk/ministeriet/whistleblowerordning/,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sikkerel.sik.dk,https://sikkerel.sik.dk/sites/sikkerel.sik.dk/files/2020-09/er_du_klar_til_din_laerling_2020_uden_skaeremaerker.pdf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bpst.dk,https://bpst.dk/da/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ens.dk,https://ens.dk/ansvarsomraader/energikrav-til-produkter/produkter-med-energikrav,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
